WigleWifi-1.4,appRelease=2.38,model=Redmi Note 4,release=6.0,device=nikel,display=MRA58K,board=unknown,brand=Xiaomi
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
e0:10:7f:09:99:48,Ariel_University,[ESS],2018-11-29 17:24:28,6,-54,32.1050916666667,35.2056333333333,642,3.79999995231628,WIFI
50:a7:33:07:59:a8,Ariel_University,[ESS],2018-11-29 17:24:28,11,-62,32.1050916666667,35.2056333333333,642,3.79999995231628,WIFI
00:25:86:cc:06:92,AUC_109,[ESS],2018-11-29 17:24:28,10,-62,32.1050916666667,35.2056333333333,642,3.79999995231628,WIFI
84:18:3a:04:41:88,Ariel_University,[ESS],2018-11-29 17:24:28,6,-61,32.1050916666667,35.2056333333333,642,3.79999995231628,WIFI
8c:0c:90:2f:cc:38,Ariel_University,[ESS],2018-11-29 17:24:28,6,-78,32.1050916666667,35.2056333333333,642,3.79999995231628,WIFI
24:c9:a1:33:34:68,Ariel_University,[ESS],2018-11-29 17:24:28,6,-80,32.1050916666667,35.2056333333333,642,3.79999995231628,WIFI
8c:0c:90:2d:7a:b8,Ariel_University,[ESS],2018-11-29 17:24:33,11,-56,32.1050783333333,35.20562,642,3.59999990463257,WIFI
f2:b4:29:f8:90:5a,,[ESS],2018-11-29 17:24:33,2,-65,32.1050783333333,35.20562,642,3.59999990463257,WIFI
8c:0c:90:30:04:b8,Ariel_University,[ESS],2018-11-29 17:24:33,6,-92,32.1050783333333,35.20562,642,3.59999990463257,WIFI
34:fa:9f:15:36:98,Ariel_University,[ESS],2018-11-29 17:24:40,11,-73,32.10508,35.2055916666667,642,3.5,WIFI
84:18:3a:04:3f:88,Ariel_University,[ESS],2018-11-29 17:24:40,1,-63,32.10508,35.2055916666667,642,3.5,WIFI
24:c9:a1:35:bb:08,Ariel_University,[ESS],2018-11-29 17:24:45,6,-60,32.1050933333333,35.20558,642,3.40000009536743,WIFI
e0:10:7f:09:99:48,Ariel_University,[ESS],2018-11-29 17:24:45,6,-46,32.1050933333333,35.20558,642,3.40000009536743,WIFI
84:18:3a:04:48:88,Ariel_University,[ESS],2018-11-29 17:24:45,1,-70,32.1050933333333,35.20558,642,3.40000009536743,WIFI
f0:b4:29:fa:90:5a,mi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2018-11-29 17:24:45,2,-66,32.1050933333333,35.20558,642,3.40000009536743,WIFI
24:c9:a1:35:bb:08,Ariel_University,[ESS],2018-11-29 17:24:57,6,-49,32.105065,35.2054683333333,642.1,3.5,WIFI
34:fa:9f:14:1a:e8,Ariel_University,[ESS],2018-11-29 17:24:57,1,-68,32.105065,35.2054683333333,642.1,3.5,WIFI
8c:0c:90:2d:79:28,Ariel_University,[ESS],2018-11-29 17:24:57,11,-73,32.105065,35.2054683333333,642.1,3.5,WIFI
8c:0c:90:2f:cc:98,Ariel_University,[ESS],2018-11-29 17:24:57,11,-82,32.105065,35.2054683333333,642.1,3.5,WIFI
8c:0c:90:2e:e8:08,Ariel_University,[ESS],2018-11-29 17:25:04,11,-64,32.10508,35.2053616666667,642.1,3.59999990463257,WIFI
24:c9:a1:76:5c:73,island-365C70,[WPA2-PSK-CCMP][ESS],2018-11-29 17:25:04,11,-88,32.10508,35.2053616666667,642.1,3.59999990463257,WIFI
24:c9:a1:33:34:58,Ariel_University,[ESS],2018-11-29 17:25:04,6,-82,32.10508,35.2053616666667,642.1,3.59999990463257,WIFI
8c:dc:d4:68:7a:73,HP-Print-73-Deskjet 4640 series,[ESS],2018-11-29 17:25:04,6,-91,32.10508,35.2053616666667,642.1,3.59999990463257,WIFI
8c:0c:90:2f:35:38,Ariel_University,[ESS],2018-11-29 17:25:09,11,-67,32.1051133333333,35.20528,642.3,3.70000004768372,WIFI
8c:dc:d4:68:7a:73,HP-Print-73-Deskjet 4640 series,[ESS],2018-11-29 17:25:09,6,-83,32.1051133333333,35.20528,642.3,3.70000004768372,WIFI
34:fa:9f:14:fe:d8,Ariel_University,[ESS],2018-11-29 17:25:09,1,-78,32.1051133333333,35.20528,642.3,3.70000004768372,WIFI
8c:0c:90:2e:e8:08,Ariel_University,[ESS],2018-11-29 17:25:17,11,-58,32.1051383333333,35.2052066666667,642.4,4.5,WIFI
8c:0c:90:2f:35:38,Ariel_University,[ESS],2018-11-29 17:25:17,11,-53,32.1051383333333,35.2052066666667,642.4,4.5,WIFI
8c:0c:90:2e:e8:08,Ariel_University,[ESS],2018-11-29 17:25:25,11,-53,32.1050083333333,35.205185,642.6,4.69999980926514,WIFI
2c:5d:93:3e:f5:38,Ariel_University,[ESS],2018-11-29 17:25:25,6,-51,32.1050083333333,35.205185,642.6,4.69999980926514,WIFI
8c:0c:90:2d:79:28,Ariel_University,[ESS],2018-11-29 17:25:25,11,-64,32.1050083333333,35.205185,642.6,4.69999980926514,WIFI
8c:0c:90:2f:cc:98,Ariel_University,[ESS],2018-11-29 17:25:25,11,-77,32.1050083333333,35.205185,642.6,4.69999980926514,WIFI
24:c9:a1:36:5b:e8,Ariel_University,[ESS],2018-11-29 17:25:25,6,-85,32.1050083333333,35.205185,642.6,4.69999980926514,WIFI
8c:0c:90:2d:79:28,Ariel_University,[ESS],2018-11-29 17:25:30,11,-59,32.10496,35.2051283333333,642.8,4.69999980926514,WIFI
6c:aa:b3:08:24:98,Ariel_University,[ESS],2018-11-29 17:25:30,6,-79,32.10496,35.2051283333333,642.8,4.69999980926514,WIFI
e0:10:7f:1a:bd:98,Ariel_University,[ESS],2018-11-29 17:25:37,1,-79,32.1050616666667,35.2050266666667,643.1,4.90000009536743,WIFI
8c:0c:90:2e:e8:08,Ariel_University,[ESS],2018-11-29 17:25:42,11,-46,32.105145,35.20493,643.5,5,WIFI
8c:0c:90:2f:cb:e8,Ariel_University,[ESS],2018-11-29 17:25:42,11,-85,32.105145,35.20493,643.5,5,WIFI
